2-(1,3-BENZODIOXOL-5-YL)-5-[(3-FLUORO-4-METHOXYBENZYL)SULFANYL]-1,3,4-OXADIAZOLE	GSK3B
6-CHLORO-2-(2-HYDROXY-BIPHENYL-3-YL)-1H-INDOLE-5-CARBOXAMIDINE	PRSS1
GC-24	THRB
TETRAZOLYL HISTIDINE	MB
ADAPALENE	RARA
ADAPALENE	RARB
ADAPALENE	RARG
ADAPALENE	RXRG
ADAPALENE	RXRB
ADAPALENE	RXRA
LINTITRIPT	CCKAR
CIS-TETRACOSENOYL SULFATIDE	CD1D
1,2,4-TRIAZOLE	CA2
MALTOSYL-ALPHA (1,4)-D-GLUCONHYDROXIMO-1,5-LACTAM	AMY2A
DURVALUMAB	CD80
DURVALUMAB	CD274
6-({5-FLUORO-2-[(3,4,5-TRIMETHOXYPHENYL)AMINO]PYRIMIDIN-4-YL}AMINO)-2,2-DIMETHYL-2H-PYRIDO[3,2-B][1,4]OXAZIN-3(4H)-ONE	SYK
GLISOXEPIDE	KCNJ8
(1R,2S)-2-PHENYLCYCLOPROPANAMINIUM	PRSS1
PEGINESATIDE	EPOR
RILONACEPT	IL1A
RILONACEPT	IL1B
RILONACEPT	IL1RN
N-CYCLOPROPYL-4-METHYL-3-{2-[(2-MORPHOLIN-4-YLETHYL)AMINO]QUINAZOLIN-6-YL}BENZAMIDE	MAPK14
PHOSPHORIC ACID MONO-[3-FLUORO-5-(5-METHYL-2,4-DIOXO-3,4-DIHYDRO-2H-PYRIMIDIN-1-YL)-TETRAHYRO-FURAN-2-YLMETHYL] ESTER	DTYMK
CAPSAICIN	TRPV1
CAPSAICIN	PHB2
CHYMOSTATIN	PAM
{3-[(5-CHLORO-1,3-BENZOTHIAZOL-2-YL)METHYL]-2,4-DIOXO-3,4-DIHYDROPYRIMIDIN-1(2H)-YL}ACETIC ACID	AKR1B1
2-(5-HYDROXY-NAPHTHALEN-1-YL)-1,3-BENZOOXAZOL-6-OL	ESR2
2-(5-HYDROXY-NAPHTHALEN-1-YL)-1,3-BENZOOXAZOL-6-OL	NCOA1
N-(4-AMINO-5-CYANO-6-ETHOXYPYRIDIN-2-YL)-2-(4-BROMO-2,5-DIMETHOXYPHENYL)ACETAMIDE	MAPK8IP1
N-(4-AMINO-5-CYANO-6-ETHOXYPYRIDIN-2-YL)-2-(4-BROMO-2,5-DIMETHOXYPHENYL)ACETAMIDE	MAPK8
SONIDEGIB	SMO
CRA_1802	PRSS1
DIETHYLCARBAMAZINE	PTGS1
DIETHYLCARBAMAZINE	ALOX5
GLUTETHIMIDE	GABRA1
CYANOCOBALAMIN	MTHFR
CYANOCOBALAMIN	MTR
CYANOCOBALAMIN	MTRR
CYANOCOBALAMIN	MMACHC
CYANOCOBALAMIN	MMAA
CYANOCOBALAMIN	MUT
LEPIRUDIN	F2
BROMPHENIRAMINE	CHRM3
BROMPHENIRAMINE	CHRM1
BROMPHENIRAMINE	CHRM5
BROMPHENIRAMINE	CHRM4
BROMPHENIRAMINE	CHRM2
BROMPHENIRAMINE	HRH1
N-TRIMETHYLLYSINE	CALM1
N-TRIMETHYLLYSINE	CYCS
TEZAMPANEL	GABBR1
TEZAMPANEL	GRIK1
GW 468816	GLRA1
LYSERGIC ACID DIETHYLAMIDE	HTR2B
LYSERGIC ACID DIETHYLAMIDE	HTR6
LYSERGIC ACID DIETHYLAMIDE	HTR1A
(R)—N[2-[1-(AMINOIMINOMETHYL)-3-PIPERIDINYL]-1-OXOETHYL]-4-(PHENYLETHYNYL)-L-PHENYLALANINE METHYLESTER	IL2
CHROMIC CHLORIDE	INSR
3-BROMO-5-PHENYL-N-(PYRIDIN-3-YLMETHYL)PYRAZOLO[1,5-A]PYRIMIDIN-7-AMINE	CDK2
OSPEMIFENE	ESR1
CYCLIZINE	SULT1E1
CYCLIZINE	HRH1
TRIDIHEXETHYL	CHRM2
TRIDIHEXETHYL	CHRM3
TRIDIHEXETHYL	CHRM1
R411	ITGA4
BETA-DADF, MSA, MULTISUBSTRATE ADDUCT INHIBITOR	ATIC
3-AMINO-5-PHENYLPENTANE	CTSK
3-AMINO-5-PHENYLPENTANE	CTSV
4-SULFONAMIDE-[1-(4-AMINOBUTANE)]BENZAMIDE	CA2
9-HYDROXY-4-PHENYL-6H-PYRROLO[3,4-C]CARBAZOLE-1,3-DIONE	WEE1
TOLRESTAT	AKR1A1
TOLRESTAT	AKR1B10
TOLRESTAT	AKR1B1
4-O-(4,6-DIDEOXY-4-{[4-[(4-O-HEXOPYRANOSYLHEXOPYRANOSYL)OXY]-5,6-DIHYDROXY-3-(HYDROXYMETHYL)CYCLOHEX-2-EN-1-YL]AMINO}HEXOPYRANOSYL)HEXOPYRANOSE	AMY2A
CARPHENAZINE	DRD1
CARPHENAZINE	DRD5
CARPHENAZINE	DRD2
ROTIGOTINE	DRD1
ROTIGOTINE	ADRA2B
ROTIGOTINE	DRD3
ROTIGOTINE	DRD4
ROTIGOTINE	DRD2
ROTIGOTINE	DRD5
ROTIGOTINE	HTR1A
THIOPROPERAZINE	HTR2A
THIOPROPERAZINE	ADRA1B
THIOPROPERAZINE	DRD1
THIOPROPERAZINE	DRD2
THIOPROPERAZINE	ADRA1A
THIOPROPERAZINE	HTR1A
N-CYCLOPROPYL-4-PYRAZOLO[1,5-B]PYRIDAZIN-3-YLPYRIMIDIN-2-AMINE	CCNA2
N-CYCLOPROPYL-4-PYRAZOLO[1,5-B]PYRIDAZIN-3-YLPYRIMIDIN-2-AMINE	CDK2
THIORIDAZINE	ADRA1B
THIORIDAZINE	DRD1
THIORIDAZINE	HTR2A
THIORIDAZINE	KCNH2
THIORIDAZINE	DRD2
THIORIDAZINE	ADRA1A
4-(2,5-DICHLORO-THIOPHEN-3-YL)-PYRIMIDIN-2-YLAMINE	CDK2
BECAPLERMIN	PDGFRB
BECAPLERMIN	A2M
BECAPLERMIN	PDGFRA
ECABET	NOXO1
CETIRIZINE	HRH1
ALIMEMAZINE	HRH1
PALBOCICLIB	CDK6
PALBOCICLIB	CDK4
2-[(FORMYL-HYDROXY-AMINO)-METHYL]-HEPTANOIC ACID [1-(2-HYDROXYMETHYL-PYRROLIDINE-1-CARBONYL)-2-METHYL-PROPYL]-AMIDE	PDF
INSULIN GLULISINE	INSR
6-CARBAMIMIDOYL-2-[2-HYDROXY-5-(3-METHOXY-PHENYL)-INDAN-1-YL]-HEXANOIC ACID	F2
THROMBOPOIETIN	MPL
BEFUNOLOL	ADRB1
BEFUNOLOL	ADRB2
PALMITIC ACID	PAEP
PALMITIC ACID	HNF4G
PALMITIC ACID	PMP2
PALMITIC ACID	TRAPPC3
PALMITIC ACID	PPARA
PALMITIC ACID	PPT1
PALMITIC ACID	RHO
PALMITIC ACID	LALBA
PALMITIC ACID	CYP2C8
PALMITIC ACID	SEC14L2
6S-5,6,7,8-TETRAHYDROBIOPTERIN	NOS3
LEVETIRACETAM	CACNA1B
LEVETIRACETAM	SV2A
DERAMCICLANE	HTR2A
DERAMCICLANE	HTR2C
RAMATROBAN	PTGDR2
GLYCINAMIDE RIBONUCLEOTIDE	GART
BIPERIDEN	CHRM1
BIPERIDEN	CHRNA2
{4-[2,2-BIS(5-METHYL-1,2,4-OXADIAZOL-3-YL)-3-PHENYLPROPYL]PHENYL}SULFAMIC ACID	PTPRB
4-BROMO-2,5-DIMETHOXYPHENETHYLAMINE	HTR2A
4-BROMO-2,5-DIMETHOXYPHENETHYLAMINE	HTR2C
N-(3-(8-CYANO-4-(PHENYLAMINO)PYRAZOLO[1,5-A][1,3,5]TRIAZIN-2-YLAMINO)PHENYL)ACETAMIDE	CSNK2A1
SUFENTANIL	OPRK1
SUFENTANIL	OPRM1
SUFENTANIL	OPRD1
RENZAPRIDE	HTR3A
RENZAPRIDE	HTR4
ZOTEPINE	HTR2A
ZOTEPINE	HTR6
ZOTEPINE	DRD2
ZOTEPINE	HTR7
ZOTEPINE	SLC6A4
ZOTEPINE	SLC6A2
XANTHINE	GPT
ERYTHRITYL TETRANITRATE	NPR2
ERYTHRITYL TETRANITRATE	NPR1
2-DEOXYURIDYLIC ACID	TYMS
2-DEOXYURIDYLIC ACID	DUT
DARBEPOETIN ALFA	EPOR
BARBITURIC ACID DERIVATIVE	GRIA2
BARBITURIC ACID DERIVATIVE	GABRA3
BARBITURIC ACID DERIVATIVE	GRIK2
BARBITURIC ACID DERIVATIVE	GABRA6
BARBITURIC ACID DERIVATIVE	GABRA4
BARBITURIC ACID DERIVATIVE	GABRA1
BARBITURIC ACID DERIVATIVE	GABRA2
BARBITURIC ACID DERIVATIVE	CHRNA7
BARBITURIC ACID DERIVATIVE	CHRNA4
BARBITURIC ACID DERIVATIVE	GABRA5
HY10275	HTR2A
HY10275	HRH1
N-(5-CHLORO-1,3-BENZODIOXOL-4-YL)-N-(3-MORPHOLIN-4-YLPHENYL)PYRIMIDINE-2,4-DIAMINE	EPHB4
COA-S-TRIMETHYLENE-ACETYL-TRYPTAMINE	AANAT
DIFLUOCORTOLONE	ANXA3
DIFLUOCORTOLONE	NR3C1
HYDROXOCOBALAMIN	MUT
HYDROXOCOBALAMIN	MMAA
HYDROXOCOBALAMIN	AMN
HYDROXOCOBALAMIN	MTR
HYDROXOCOBALAMIN	MMAB
HYDROXOCOBALAMIN	CUBN
HYDROXOCOBALAMIN	MMACHC
HYDROXOCOBALAMIN	TCN1
HYDROXOCOBALAMIN	MTRR
APRACLONIDINE	ADRA1A
APRACLONIDINE	ADRA2A
APRACLONIDINE	ADRA2B
N-[4-(2-{2-[3-(2-BROMO-ACETYLAMINO)-PROPIONYLAMINO]-3-HYDROXY-PROPIONYLAMINO}-ETHYL)-PHENYL]-OXALAMIC ACID	PTPN1
2-[1-(4-CHLOROBENZOYL)-5-METHOXY-2-METHYL-1H-INDOL-3-YL]-N-[(1S)-1-(HYDROXYMETHYL)PROPYL]ACETAMIDE	PTGS1
3-[[(METHYLAMINO)SULFONYL]AMINO]-2-OXO-6-PHENYL-N-[3,3,3-TRIFLUORO-1-(1-METHYLETHYL)-2-OXOPHENYL]-1(2H)-PYRIDINE ACETAMIDE	CELA1
KRP-104	DPP4
1-CYCLOBUTYL-3-(3,4-DIMETHOXYPHENYL)-1H-PYRAZOLO[3,4-D]PYRIMIDIN-4-AMINE	SRC
HYPOXANTHINE	PNP
FLUPHENAZINE	DRD1
FLUPHENAZINE	HTR2A
FLUPHENAZINE	HTR2C
FLUPHENAZINE	CALM1
FLUPHENAZINE	AR
FLUPHENAZINE	DRD2
TERT-BUTYL 2-CYANO-2-METHYLHYDRAZINECARBOXYLATE	CTSK
INHIBITOR OF P38 KINASE	MAPK14
IMPLITAPIDE	MTTP
5-S-ETHYL-5-THIOADENOSINE	AHCY
IBANDRONATE	FDPS
N1-(2-AMINO-4-METHYLPENTYL)OCTAHYDRO-PYRROLO[1,2-A] PYRIMIDINE	ATP5A1
N1-(2-AMINO-4-METHYLPENTYL)OCTAHYDRO-PYRROLO[1,2-A] PYRIMIDINE	ATP5B
N1-(2-AMINO-4-METHYLPENTYL)OCTAHYDRO-PYRROLO[1,2-A] PYRIMIDINE	ATP5C1
AMIDO PHENYL PYRUVIC ACID	TPSB2
GUAIACOL	ALB
PARA-MERCURY-BENZENESULFONIC ACID	ESR2
PARA-MERCURY-BENZENESULFONIC ACID	CLC
NALDEMEDINE	OPRK1
NALDEMEDINE	OPRM1
NALDEMEDINE	OPRD1
TANESPIMYCIN	HSP90AB1
TANESPIMYCIN	HSP90AA1
ENOXACIN	TOP2A
FIROCOXIB	PTGS2
CRYPTENAMINE	CHRM2
CRYPTENAMINE	CHRM4
CRYPTENAMINE	CHRM1
CRYPTENAMINE	CHRM3
CRYPTENAMINE	CHRM5
GENISTEIN	ESRRA
GENISTEIN	NCOA1
GENISTEIN	PTK2B
GENISTEIN	ESR2
GENISTEIN	TOP2A
GENISTEIN	SHBG
GENISTEIN	AKT1
GENISTEIN	GPER1
GENISTEIN	NCOA2
GENISTEIN	ESR1
GENISTEIN	NR1I2
GENISTEIN	CYP1B1
GENISTEIN	ESRRB
FLUVOXAMINE	KCNH2
FLUVOXAMINE	SLC6A4
6-FLUORO-2-(2-HYDROXY-3-ISOBUTOXY-PHENYL)-1H-BENZOIMIDAZOLE-5-CARBOXAMIDINE	PRSS1
6-FLUORO-2-(2-HYDROXY-3-ISOBUTOXY-PHENYL)-1H-BENZOIMIDAZOLE-5-CARBOXAMIDINE	PLAU
MK-0354	GPER1
DIMENHYDRINATE	HRH1
PANTOTHENOYLAMINOETHENETHIOL	PPCDC
ADENOSINE-5-DIPHOSPHORIBOSE	GAPDH
ADENOSINE-5-DIPHOSPHORIBOSE	SIRT5
ADENOSINE-5-DIPHOSPHORIBOSE	SIRT3
ADENOSINE-5-DIPHOSPHORIBOSE	EEF2
1-(4-THIOPHEN-2-YLPHENYL)METHANAMINE	LTA4H
ICO-007	RAF1
ETHANOLAMINE	ANXA3
ZONISAMIDE	SCN4A
ZONISAMIDE	CA14
ZONISAMIDE	CA2
ZONISAMIDE	CA7
ZONISAMIDE	SCN4B
ZONISAMIDE	CACNA1I
ZONISAMIDE	SCN1B
ZONISAMIDE	MAOA
ZONISAMIDE	SCN2B
ZONISAMIDE	CA6
ZONISAMIDE	SCN1A
ZONISAMIDE	CACNA1G
ZONISAMIDE	CA12
ZONISAMIDE	CA4
ZONISAMIDE	CA8
ZONISAMIDE	SCN9A
ZONISAMIDE	CA5B
ZONISAMIDE	SCN3B
ZONISAMIDE	SCN2A
ZONISAMIDE	CA9
ZONISAMIDE	CA10
ZONISAMIDE	CA5A
ZONISAMIDE	MAOB
ZONISAMIDE	CA3
ZONISAMIDE	CA11
ZONISAMIDE	CA13
ZONISAMIDE	CA1
ZONISAMIDE	SCN5A
ZONISAMIDE	SCN11A
ZONISAMIDE	SCN3A
ZONISAMIDE	CACNA1H
FLUORO-WILLARDIINE	GRIA2
HYDROXYPROGESTERONE CAPROATE	PGR
EXEMESTANE	CYP19A1
(S)-2-METHYL-1-[(4-METHYL-5-ISOQUINOLINE)SULFONYL]-HOMOPIPERAZINE	PRKACA
(S)-2-METHYL-1-[(4-METHYL-5-ISOQUINOLINE)SULFONYL]-HOMOPIPERAZINE	PKIA
(S)-2-METHYL-1-[(4-METHYL-5-ISOQUINOLINE)SULFONYL]-HOMOPIPERAZINE	ROCK1
CEP-1347	MAPK12
6-CHLORO-9-HYDROXY-1,3-DIMETHYL-1,9-DIHYDRO-4H-PYRAZOLO[3,4-B]QUINOLIN-4-ONE	MAPK8IP1
6-CHLORO-9-HYDROXY-1,3-DIMETHYL-1,9-DIHYDRO-4H-PYRAZOLO[3,4-B]QUINOLIN-4-ONE	MAPK8
N-{4-METHYL-3-[(3-PYRIMIDIN-4-YLPYRIDIN-2-YL)AMINO]PHENYL}-3-(TRIFLUOROMETHYL)BENZAMIDE	TEK
THROMBIN	F2R
THROMBIN	F2RL3
S-8184	BCL2
S-8184	TUBA4A
PARATHYROID HORMONE	PTH2R
PARATHYROID HORMONE	PTH1R
DEBRISOQUIN	SLC6A2
FUSIDIC ACID	CAT
(3AR,6R,6AS)-6-((S)-((S)-CYCLOHEX-2-ENYL)(HYDROXY)METHYL)-6A-METHYL-4-OXO-HEXAHYDRO-2H-FURO[3,2-C]PYRROLE-6-CARBALDEHYDE	PSMB3
(3AR,6R,6AS)-6-((S)-((S)-CYCLOHEX-2-ENYL)(HYDROXY)METHYL)-6A-METHYL-4-OXO-HEXAHYDRO-2H-FURO[3,2-C]PYRROLE-6-CARBALDEHYDE	PSMA3
(3AR,6R,6AS)-6-((S)-((S)-CYCLOHEX-2-ENYL)(HYDROXY)METHYL)-6A-METHYL-4-OXO-HEXAHYDRO-2H-FURO[3,2-C]PYRROLE-6-CARBALDEHYDE	PSMA4
(3AR,6R,6AS)-6-((S)-((S)-CYCLOHEX-2-ENYL)(HYDROXY)METHYL)-6A-METHYL-4-OXO-HEXAHYDRO-2H-FURO[3,2-C]PYRROLE-6-CARBALDEHYDE	PSMA5
(3AR,6R,6AS)-6-((S)-((S)-CYCLOHEX-2-ENYL)(HYDROXY)METHYL)-6A-METHYL-4-OXO-HEXAHYDRO-2H-FURO[3,2-C]PYRROLE-6-CARBALDEHYDE	PSMB6
(3AR,6R,6AS)-6-((S)-((S)-CYCLOHEX-2-ENYL)(HYDROXY)METHYL)-6A-METHYL-4-OXO-HEXAHYDRO-2H-FURO[3,2-C]PYRROLE-6-CARBALDEHYDE	PSMB2
(3AR,6R,6AS)-6-((S)-((S)-CYCLOHEX-2-ENYL)(HYDROXY)METHYL)-6A-METHYL-4-OXO-HEXAHYDRO-2H-FURO[3,2-C]PYRROLE-6-CARBALDEHYDE	PSMB5
(3AR,6R,6AS)-6-((S)-((S)-CYCLOHEX-2-ENYL)(HYDROXY)METHYL)-6A-METHYL-4-OXO-HEXAHYDRO-2H-FURO[3,2-C]PYRROLE-6-CARBALDEHYDE	PSMB1
(3AR,6R,6AS)-6-((S)-((S)-CYCLOHEX-2-ENYL)(HYDROXY)METHYL)-6A-METHYL-4-OXO-HEXAHYDRO-2H-FURO[3,2-C]PYRROLE-6-CARBALDEHYDE	PSMB4
(3AR,6R,6AS)-6-((S)-((S)-CYCLOHEX-2-ENYL)(HYDROXY)METHYL)-6A-METHYL-4-OXO-HEXAHYDRO-2H-FURO[3,2-C]PYRROLE-6-CARBALDEHYDE	PSMA1
(3AR,6R,6AS)-6-((S)-((S)-CYCLOHEX-2-ENYL)(HYDROXY)METHYL)-6A-METHYL-4-OXO-HEXAHYDRO-2H-FURO[3,2-C]PYRROLE-6-CARBALDEHYDE	PSMA6
(3AR,6R,6AS)-6-((S)-((S)-CYCLOHEX-2-ENYL)(HYDROXY)METHYL)-6A-METHYL-4-OXO-HEXAHYDRO-2H-FURO[3,2-C]PYRROLE-6-CARBALDEHYDE	PSMA2
(3AR,6R,6AS)-6-((S)-((S)-CYCLOHEX-2-ENYL)(HYDROXY)METHYL)-6A-METHYL-4-OXO-HEXAHYDRO-2H-FURO[3,2-C]PYRROLE-6-CARBALDEHYDE	PSMB7
(3AR,6R,6AS)-6-((S)-((S)-CYCLOHEX-2-ENYL)(HYDROXY)METHYL)-6A-METHYL-4-OXO-HEXAHYDRO-2H-FURO[3,2-C]PYRROLE-6-CARBALDEHYDE	PSMA7
AMOXAPINE	ADRA2A
AMOXAPINE	DRD3
AMOXAPINE	HTR3A
AMOXAPINE	SLC6A4
AMOXAPINE	HTR7
AMOXAPINE	DRD2
AMOXAPINE	DRD1
AMOXAPINE	HTR2A
AMOXAPINE	DRD4
AMOXAPINE	ADRA1A
AMOXAPINE	HRH4
AMOXAPINE	HTR6
AMOXAPINE	CHRM1
AMOXAPINE	HRH1
AMOXAPINE	HTR2C
AMOXAPINE	HTR2B
AMOXAPINE	SLC6A2
AMOXAPINE	GABRA1
AMOXAPINE	SLC6A3
AMOXAPINE	HTR1A
AMOXAPINE	HTR1B
MAGNESIUM SALICYLATE	PTGS2
MAGNESIUM SALICYLATE	PTGS1
HESPERIDIN	AURKB
3,6,9,12,15,18-HEXAOXAICOSANE	PIN1
BROMAZEPAM	GABRA4
BROMAZEPAM	GABRP
BROMAZEPAM	GABRG3
BROMAZEPAM	GABRA5
BROMAZEPAM	GABRE
BROMAZEPAM	GABRQ
BROMAZEPAM	GABRG2
BROMAZEPAM	GABRA6
BROMAZEPAM	GABRD
BROMAZEPAM	GABRA1
BROMAZEPAM	GABRA2
BROMAZEPAM	GABRB1
BROMAZEPAM	GABRB2
BROMAZEPAM	GABRR3
BROMAZEPAM	GABRA3
BROMAZEPAM	GABRR2
BROMAZEPAM	GABRB3
BROMAZEPAM	GABRG1
BROMAZEPAM	GABRR1
N-({[4-(AMINOSULFONYL)PHENYL]AMINO}CARBONYL)-4-METHYLBENZENESULFONAMIDE	CA2
DACLIZUMAB	FCGR2C
DACLIZUMAB	FCGR3B
DACLIZUMAB	C1QB
DACLIZUMAB	C1QC
DACLIZUMAB	C1R
DACLIZUMAB	FCGR2A
DACLIZUMAB	FCGR3A
DACLIZUMAB	IL2RB
DACLIZUMAB	IL2RA
DACLIZUMAB	C1QA
DACLIZUMAB	FCGR2B
DACLIZUMAB	FCGR1A
DIMETACRINE	ACHE
4-SULFONAMIDE-[4-(THIOMETHYLAMINOBUTANE)]BENZAMIDE	CA2
GLYCYLALANYL-N-2-NAPHTHYL-L-PROLINEAMIDE	PTPA
BETAZOLE	HRH2
NILOTINIB	ABL1
NILOTINIB	KIT
HYALURONIDASE (HUMAN RECOMBINANT)	TGFB1
S-PROPYLAMINE-L-CYSTEINE	ARG1
CATUMAXOMAB	FCGR3A
CATUMAXOMAB	FCGR2A
CATUMAXOMAB	FCGR3B
CATUMAXOMAB	FCGR1A
CATUMAXOMAB	CD3E
CATUMAXOMAB	EPCAM
2-(METHYLSULFANYL)-5-(THIOPHEN-2-YLMETHYL)-1H-IMIDAZOL-4-OL	CHEK1
2,3-DIMETHOXY-12H-[1,3]DIOXOLO[5,6]INDENO[1,2-C]ISOQUINOLIN-6-IUM	TOP1
ESTAZOLAM	GABRE
ESTAZOLAM	GABRG2
ESTAZOLAM	GABRG3
ESTAZOLAM	GABRA5
ESTAZOLAM	GABRP
ESTAZOLAM	GABRB3
ESTAZOLAM	GABRG1
ESTAZOLAM	GABRR1
ESTAZOLAM	GABRB2
ESTAZOLAM	GABRR2
ESTAZOLAM	GABRR3
ESTAZOLAM	GABRA3
ESTAZOLAM	GABRD
ESTAZOLAM	GABRA1
ESTAZOLAM	GABRA2
ESTAZOLAM	GABRB1
FENOTEROL	ADRB2
FENOTEROL	ADRB3
FENOTEROL	ADRB1
19-(CYCLOPROPYLAMINO)-4,6,7,15-TETRAHYDRO-5H-16,1-(AZENOMETHENO)-10,14-(METHENO)PYRAZOLO[4,3-O][1,3,9]TRIAZACYCLOHEXADECIN-8(9H)-ONE	CSNK2A1
ETHYL 3-[(E)-2-AMINO-1-CYANOETHENYL]-6,7-DICHLORO-1-METHYL-1H-INDOLE-2-CARBOXYLATE	CLK1
ETHYL 3-[(E)-2-AMINO-1-CYANOETHENYL]-6,7-DICHLORO-1-METHYL-1H-INDOLE-2-CARBOXYLATE	CLK3
O-(((1R)-((N-(PHENYL-METHOXY-CARBONYL)-ALANYL)-AMINO)METHYL)HYDROXYPHOSPHINYL)3-L-PHENYLLACTATE	CPA1
CARTEOLOL	ADRB2
CARTEOLOL	ADRB1
DROXIDOPA	ADRA1A
DROXIDOPA	ADRA1B
DROXIDOPA	PAH
DROXIDOPA	ADRA2C
DROXIDOPA	ADRB3
DROXIDOPA	ADRB1
DROXIDOPA	ADRA2B
DROXIDOPA	ADRB2
DROXIDOPA	ADRA2A
DROXIDOPA	ADRA1D
5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-N-ETHYL-4-[4-(MORPHOLIN-4-YLMETHYL)PHENYL]ISOXAZOLE-3-CARBOXAMIDE	HSP90AA1
ECONAZOLE	NR1I2
TICAGRELOR	P2RY12
PIPOTIAZINE	DRD1
PIPOTIAZINE	HTR2A
PIPOTIAZINE	HTR1A
PIPOTIAZINE	DRD2
{4-[2-BENZYL-3-METHOXY-2-(METHOXYCARBONYL)-3-OXOPROPYL]PHENYL}SULFAMIC ACID	PTPRB
N-[4-(AMINOSULFONYL)BENZYL]-5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-1H-PYRAZOLE-4-CARBOXAMIDE	HSP90AA1
PORPHOBILINOGEN	ALAD
TRIHYDROXYANTIMONITE(III)	ARSA
ACETOACETIC ACID	FAH
HALOPERIDOL	HTR2A
HALOPERIDOL	GRIN2B
HALOPERIDOL	DRD3
HALOPERIDOL	DRD1
HALOPERIDOL	MCHR1
HALOPERIDOL	DRD2
HALOPERIDOL	SLC18A2
CARBA-NICOTINAMIDE-ADENINE-DINUCLEOTIDE	PARP1
(2S)-2-(4-ETHYLPHENOXY)-3-PHENYLPROPANOIC ACID	PPARG
TEGASEROD	HTR2A
TEGASEROD	HTR2B
TEGASEROD	HTR2C
TEGASEROD	HTR4
N-ALPHA-ACETYL-3,5-DIIODOTYROSYLGLYCINE	PAM
CORTICOSTERONE	HSD11B1
CORTICOSTERONE	NCOA1
CORTICOSTERONE	NR3C2
(6R)-2-AMINO-6-[2-(3-METHOXYBIPHENYL-3-YL)ETHYL]-3,6-DIMETHYL-5,6-DIHYDROPYRIMIDIN-4(3H)-ONE	BACE1
3-CYCLOPROPYL-5-PHENYL-N-(PYRIDIN-3-YLMETHYL)PYRAZOLO[1,5-A]PYRIMIDIN-7-AMINE	CDK2
TRIMETREXATE	DHFR
AL6528	CA2
3,4-DIHYDROXY-1-METHYLQUINOLIN-2(1H)-ONE	PIM1
RAMOSETRON	HTR3A
L-ALANINE	SLC36A1
L-ALANINE	AGXT
L-ALANINE	AARS2
L-ALANINE	SLC7A8
L-ALANINE	PHYKPL
L-ALANINE	GPT2
L-ALANINE	NFS1
L-ALANINE	GPT
L-ALANINE	AGXT2
L-ALANINE	ABAT
L-ALANINE	SLC1A4
L-ALANINE	KYNU
L-ALANINE	AARS
FLUDROCORTISONE	NR3C2
FLUDROCORTISONE	NR3C1
FLUDROCORTISONE	AR
4-[(1S,2S,5S)-5-(HYDROXYMETHYL)-8-METHYL-3-OXABICYCLO[3.3.1]NON-7-EN-2-YL]PHENOL	NCOA2
4-[(1S,2S,5S)-5-(HYDROXYMETHYL)-8-METHYL-3-OXABICYCLO[3.3.1]NON-7-EN-2-YL]PHENOL	ESR1
LABRADIMIL	BDKRB2
(R)-1-(4-(4-(HYDROXYMETHYL)-1,3,2-DIOXABOROLAN-2-YL)BENZYL)GUANIDINE	F11
N-CYCLOHEXYL-N-(4-IODOPHENYL)UREA	EPHX2
LAURYL DIMETHYLAMINE-N-OXIDE	DHODH
LAURYL DIMETHYLAMINE-N-OXIDE	CFL1
LAURYL DIMETHYLAMINE-N-OXIDE	DSTN
LAURYL DIMETHYLAMINE-N-OXIDE	MAOB
LAURYL DIMETHYLAMINE-N-OXIDE	RHO
LAURYL DIMETHYLAMINE-N-OXIDE	NFE2L1
LAURYL DIMETHYLAMINE-N-OXIDE	PMP2
NIFEDIPINE	CACNA1S
NIFEDIPINE	CACNA1D
NIFEDIPINE	CACNA1H
NIFEDIPINE	CACNB2
NIFEDIPINE	CALM1
NIFEDIPINE	CACNA1C
NIFEDIPINE	NR1I2
NIFEDIPINE	CACNA2D1
NIFEDIPINE	KCNA1
CEFTRIAXONE	SLC22A8
CEFTRIAXONE	SLC22A6
CEFTRIAXONE	SLC22A11
CEFTRIAXONE	SLC15A1
ANIRACETAM	HTR2A
ANIRACETAM	GRIA3
ANIRACETAM	DRD2
ANIRACETAM	GRIA2
GANAXOLONE	GABRA5
GANAXOLONE	GABRA6
GANAXOLONE	GABRA4
GANAXOLONE	GABRA1
GANAXOLONE	GABRA3
GANAXOLONE	GABRA2
4-{[(2R)-2-(2-METHYLPHENYL)PYRROLIDIN-1-YL]CARBONYL}BENZENE-1,3-DIOL	HSP90AA1
CHOLINE MAGNESIUM TRISALICYLATE	PTGS2
CHOLINE MAGNESIUM TRISALICYLATE	PTGS1
SAPRISARTAN	AGTR1
1,6-DI-O-PHOSPHONO-D-MANNITOL	ALDOA
N-[(3Z)-5-TERT-BUTYL-2-PHENYL-1,2-DIHYDRO-3H-PYRAZOL-3-YLIDENE]-N-(4-CHLOROPHENYL)UREA	MAPK14
5-BENZYL-1,3-THIAZOL-2-AMINE	PRKACA
5-BENZYL-1,3-THIAZOL-2-AMINE	PKIA
LOXAPINE	ADRA2B
LOXAPINE	CHRM1
LOXAPINE	HRH1
LOXAPINE	HTR5A
LOXAPINE	ADRA1B
LOXAPINE	ADRA2C
LOXAPINE	DRD5
LOXAPINE	ADRA2A
LOXAPINE	HTR3A
